MutationType	ID83A	ID83B	ID83C	ID83D
4:Ins:R:5	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
5:Ins:R:0	0.024928713858753327	0.04136172036133985	1.2724896845384136e-05	1.7191440599617634e-05
5:Ins:R:1	0.0030467702900750736	0.01694408037969879	0.04410209267261962	0.034667326422459156
5:Ins:R:2	0.001913533195620687	0.004801944707980965	0.001913566178865267	2.5751327058287642e-06
5:Ins:R:3	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
5:Ins:R:4	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
5:Ins:R:5	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
2:Del:M:1	0.012947539053857326	0.018840461356330707	0.02653896939613105	0.00960943356134294
3:Del:M:1	0.010961282272558038	0.002490557917084857	0.01665231435364376	0.00341719812712995
3:Del:M:2	0.009261877954617147	0.0071477296101932096	0.012814908457221464	0.011347702380862756
4:Del:M:1	0.003904683241012208	0.0009053773637802464	0.004645711794910312	0.004616402798939134
4:Del:M:2	0.005334138651181775	0.007086365778575754	0.002894656616518887	0.0008448328735596533
4:Del:M:3	0.004384886044704217	0.005690684045038097	0.0038923361813374413	0.005545849685802295
5:Del:M:1	0.06185637190937996	0.05724764727056027	0.029404804483056067	0.010000168065380422
5:Del:M:2	0.042990998034656516	0.051938217263523254	0.01720480780086291	0.0026557104912853903
5:Del:M:3	0.017610883060842752	0.016810951739171288	0.0038125956666533512	0.0014380308946726928
5:Del:M:4	0.004365190746680981	0.0026576789266187007	0.004746533710954281	0.0012785980313537947
5:Del:M:5	0.011899964471120938	0.040864653699100015	0.011656302943652008	0.0006776453145647566
